LastTradeTime,_id,Open,High,Low,Close,Volume,OpenInterest,Symbol,date,RSI
1679337000,67a33ea0f2ac523fa7721fe7,1713.95,1739.85,1698.25,1724.6,306383,0,ACC,2023-03-20 13:00:00,49.22
1679423400,67a33ea0f2ac523fa7721fe8,1730.0,1746.0,1724.65,1738.35,258724,0,ACC,2023-03-21 13:00:00,50.82
1679509800,67a33ea0f2ac523fa7721fe9,1738.0,1752.2,1725.0,1738.3,448459,0,ACC,2023-03-22 13:00:00,50.81
1679596200,67a33ea0f2ac523fa7721fea,1736.0,1745.95,1694.55,1700.85,530916,0,ACC,2023-03-23 13:00:00,46.21
1679855400,67a33ea0f2ac523fa7721feb,1701.0,1709.35,1680.5,1684.95,340663,0,ACC,2023-03-26 13:00:00,44.38
1679941800,67a33ea0f2ac523fa7721fec,1693.0,1696.0,1592.55,1613.95,1032882,0,ACC,2023-03-27 13:00:00,37.26
1680028200,67a33ea0f2ac523fa7721fed,1592.35,1649.0,1592.35,1625.9,1012619,0,ACC,2023-03-28 13:00:00,39.03
1680201000,67a33ea0f2ac523fa7721fee,1640.0,1672.0,1630.0,1667.2,638264,0,ACC,2023-03-30 13:00:00,44.83
1680460200,67a33ea0f2ac523fa7721fef,1675.0,1714.0,1651.6,1709.0,547370,0,ACC,2023-04-02 13:00:00,50.02
1680633000,67a33ea0f2ac523fa7721ff0,1707.0,1716.45,1670.65,1687.95,696020,0,ACC,2023-04-04 13:00:00,47.59
1680719400,67a33ea0f2ac523fa7721ff1,1694.95,1717.45,1681.1,1712.0,425340,0,ACC,2023-04-05 13:00:00,50.54
1681065000,67a33ea0f2ac523fa7721ff2,1718.0,1751.55,1705.25,1740.95,407043,0,ACC,2023-04-09 13:00:00,53.91
1681151400,67a33ea0f2ac523fa7721ff3,1745.0,1757.9,1732.8,1737.4,260590,0,ACC,2023-04-10 13:00:00,53.43
1681237800,67a33ea0f2ac523fa7721ff4,1745.85,1768.5,1736.6,1758.0,444622,0,ACC,2023-04-11 13:00:00,55.88
1681324200,67a33ea0f2ac523fa7721ff5,1758.8,1771.6,1748.1,1767.55,647769,0,ACC,2023-04-12 13:00:00,57.02
1681669800,67a33ea0f2ac523fa7721ff6,1767.55,1788.15,1753.85,1784.35,768051,0,ACC,2023-04-16 13:00:00,59.01
1681756200,67a33ea0f2ac523fa7721ff7,1789.0,1789.0,1745.0,1760.1,592829,0,ACC,2023-04-17 13:00:00,55.04
1681842600,67a33ea0f2ac523fa7721ff8,1765.0,1775.85,1742.85,1749.3,372749,0,ACC,2023-04-18 13:00:00,53.32
1681929000,67a33ea0f2ac523fa7721ff9,1750.0,1758.9,1735.0,1738.1,256370,0,ACC,2023-04-19 13:00:00,51.53
1682015400,67a33ea0f2ac523fa7721ffa,1741.95,1744.8,1712.75,1717.95,346777,0,ACC,2023-04-20 13:00:00,48.37
1682274600,67a33ea0f2ac523fa7721ffb,1719.9,1740.0,1710.3,1734.65,258999,0,ACC,2023-04-23 13:00:00,51.05
1682361000,67a33ea0f2ac523fa7721ffc,1735.0,1751.0,1726.75,1736.15,258998,0,ACC,2023-04-24 13:00:00,51.29
